Code,DisplayName,CodeSystem
514154541000119109,Bilateral unstable nontraumatic acute on chronic slipped upper femoral epiphyses,SNOMED
1761006,Biliary cirrhosis,SNOMED
197310003,Biliary cirrhosis of children,SNOMED
45814002,Birnbaum's syndrome,SNOMED
1263460007,Birt Hogg Dubé syndrome,SNOMED
254054000,Boomerang dysplasia,SNOMED
238413001,Botryomycosis,SNOMED
715984007,Boucher Neuhäuser syndrome,SNOMED
1259051000,Brachial variant of chronic immune demyelinating polyradiculoneuropathy,SNOMED
69186005,Broad ligament laceration syndrome,SNOMED
70756004,Bronchial atresia with segmental pulmonary emphysema,SNOMED
233632003,Bronchiectasis due to aspiration of toxic substance,SNOMED
233633008,Bronchiectasis due to inhalation of toxic substance,SNOMED
762618008,Bronchiolitis obliterans syndrome due to and after lung transplantation,SNOMED
1177120001,Bronchiolitis obliterans syndrome following allogeneic stem cell transplant,SNOMED
67569000,Bronchopulmonary dysplasia of newborn,SNOMED
1148891004,Bullous diffuse cutaneous mastocytosis,SNOMED
266355005,Bullous emphysema with collapse,SNOMED
402422009,Bullous extragenital lichen sclerosus,SNOMED
404170009,Bullous urticaria pigmentosa,SNOMED
1179295004,BVES-related limb girdle muscular dystrophy,SNOMED
236412002,C1q nephropathy,SNOMED
1336119008,C4 (complement component 4) glomerulopathy,SNOMED
301009006,Calcific chronic pancreatitis,SNOMED
91316003,Calculus of bile duct with chronic cholecystitis,SNOMED
15082003,Calculus of bile duct with chronic cholecystitis with obstruction,SNOMED
68368005,Calculus of common bile duct with chronic cholecystitis,SNOMED
12932003,Calculus of common bile duct with chronic cholecystitis with obstruction,SNOMED
1279886003,Calpain-3-related limb girdle muscular dystrophy D4,SNOMED
715624006,CANOMAD syndrome,SNOMED
197296006,Capsular portal cirrhosis,SNOMED
74669004,Cardiac cirrhosis,SNOMED
266470007,Cardiac portal cirrhosis,SNOMED
7138005,Caries of mastoid,SNOMED
28072004,Cauliflower ear,SNOMED
277286006,Central post-stroke pain,SNOMED
68328006,Centriacinar emphysema,SNOMED
1236804009,Cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome,SNOMED
1217230002,Cerebellar ataxia with oculomotor apraxia type 4,SNOMED
240659008,Chagas' mega disease,SNOMED
771307003,Charcot-Marie-Tooth disease type 2B5,SNOMED
782826009,Charcot-Marie-Tooth disease type 2P,SNOMED
12310001,Childhood bronchiectasis,SNOMED
1251392002,Childhood chronic lichenified atopic dermatitis,SNOMED
402424005,Childhood lichen sclerosus,SNOMED
787172004,Childhood-onset autosomal recessive myopathy with external ophthalmoplegia,SNOMED
785301002,Childhood-onset autosomal recessive slowly progressive spinocerebellar ataxia,SNOMED
1172584005,Childhood-onset basal ganglia degeneration syndrome,SNOMED
1167373005,Childhood-onset motor and cognitive regression syndrome with extrapyramidal movement disorder,SNOMED
1197154006,Childhood-onset nemaline myopathy,SNOMED
1187251009,"Childhood-onset progressive contractures, limb girdle weakness, muscle dystrophy syndrome",SNOMED
773492007,Childhood-onset spasticity with hyperglycinaemia,SNOMED
1366415002,Childhood-onset Steinert myotonic dystrophy,SNOMED
716238003,Chitty Hall Baraitser syndrome,SNOMED
123606000,Cholangiolitic cirrhosis,SNOMED
46341007,Cholecystitis glandularis proliferans,SNOMED
782882009,Chondrodysplasia with joint dislocations gPAPP type,SNOMED
26848004,Chorea acanthocytosis syndrome,SNOMED
31598002,Chronic abscess of areola,SNOMED
111422001,Chronic abscess of breast,SNOMED
77360001,Chronic abscess of broad ligament,SNOMED
64532005,Chronic abscess of female pelvis,SNOMED
73345000,Chronic abscess of jaw,SNOMED
109689009,Chronic abscess of mandible,SNOMED
109688001,Chronic abscess of maxilla,SNOMED
31474007,Chronic abscess of parametrium,SNOMED
91155009,Chronic abscess of pouch of Douglas,SNOMED
28590005,Chronic acquired lymphoedema,SNOMED
403001004,Chronic acquired mucocutaneous candidiasis,SNOMED
90414007,Chronic acquired pure red cell aplasia,SNOMED
787442004,Chronic active Epstein-Barr virus disease of T and natural killer cell type infection systemic form,SNOMED
197284004,Chronic active hepatitis,SNOMED
708198006,Chronic active hepatitis C,SNOMED
50167007,Chronic active type B viral hepatitis,SNOMED
66870002,Chronic active viral hepatitis,SNOMED
275487003,Chronic adenoid disease,SNOMED
232420002,Chronic adenoiditis,SNOMED
195798007,Chronic adenotonsillitis,SNOMED
84306007,Chronic adhesive pachymeningitis,SNOMED
42999000,Chronic adhesive pericarditis,SNOMED
1116000,Chronic aggressive type B viral hepatitis,SNOMED
89789003,Chronic aggressive viral hepatitis,SNOMED
191475009,Chronic alcoholic brain syndrome,SNOMED
307757001,Chronic alcoholic hepatitis,SNOMED
713181003,Chronic alcoholic liver disease,SNOMED
191813001,Chronic alcoholism in remission,SNOMED
89099002,Chronic allergic bronchitis,SNOMED
26045000,Chronic allergic conjunctivitis,SNOMED
232240007,Chronic allergic otitis externa,SNOMED
71958004,Chronic allergic otitis media,SNOMED
23874000,Chronic amoebiasis,SNOMED
191268006,Chronic anaemia,SNOMED
197152000,Chronic anal fissure,SNOMED
115940341000119100,Chronic anastomotic ulcer,SNOMED
17258002,Chronic anoxic encephalopathy,SNOMED
232393006,Chronic anterior ethmoidal sinusitis,SNOMED
398155003,Chronic anterior uveitis,SNOMED
341581000119106,Chronic anterior uveitis of left eye,SNOMED
335971000119100,Chronic anterior uveitis of right eye,SNOMED
1217704000,Chronic antibiotic-refractory pouchitis,SNOMED
89790007,Chronic antral gastritis,SNOMED
698352000,Chronic antral gastritis with haemorrhage,SNOMED
109603007,Chronic apical abscess,SNOMED
58997001,Chronic appendicitis,SNOMED
1255222000,Chronic appendicitis with perforation of appendix,SNOMED
736428003,Chronic arthralgia of temporomandibular joint,SNOMED
35908007,Chronic arthritis,SNOMED
68451005,Chronic arthritis due to gout,SNOMED
38850007,Chronic arthropathy,SNOMED
733170007,Chronic aspergillosis of paranasal sinus,SNOMED
195949008,Chronic asthmatic bronchitis,SNOMED
123713005,Chronic atelectasis,SNOMED
402230008,Chronic atopic dermatitis of hand,SNOMED
720507006,Chronic atrial and intestinal dysrhythmia,SNOMED
426749004,Chronic atrial fibrillation,SNOMED
425615007,Chronic atrial flutter,SNOMED
359757004,Chronic atrophic candidiasis,SNOMED
41954005,Chronic atticoantral suppurative otitis media,SNOMED
1088401000119103,Chronic atticoantral suppurative otitis media of left middle ear,SNOMED
1091011000119101,Chronic atticoantral suppurative otitis media of right middle ear,SNOMED
16098491000119109,Chronic autoimmune hepatitis,SNOMED
